country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,11k,13.1k,16.1k,19k,20.6k,22.8k,24.2k,26.4k,29.4k,30.3k,30.7k,33k,35.2k,34.6k,37.1k,36.3k,35.6k,38.4k,41.7k,35.6k,44.3k,42.4k,49.8k,44.5k,41.3k,42.3k,43.8k,44.6k,46.5k,48.7k,48.6k,49.6k,51.7k,54.5k,42.7k,51k,
Afghanistan,2860,2870,2800,3770,3920,4830,6570,7680,6160,6170,7470,7630,6500,6890,8350,8950,9460,10.7k,11.7k,12.7k,13.1k,15.8k,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3k,25.8k,29k,33.8k,36.2k,36k,36.6k,35.7k,36.5k,36.6k,39.5k,40.1k,31k,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,20µ,20µ,20µ,20µ,30µ,30µ,60µ,0.00013,0.00127,0.0221,0.93,45,104,142,841,4560,9600,33.9k,66.2k,93.8k,148k,184k,212k,259k,224k,298k,395k,446k,468k,496k,471k,538k,630k,756k,853k,863k,1.19M,1.39M
Albania,,,,,,,,,,,,,,,,,,,,,,,,,5500,5490,5550,5400,5220,5580,4930,4750,14.3k,38.6k,55.9k,70.8k,108k,108k,127k,146k,167k,190k,205k,229k,249k,272k,300k,334k,369k,385k,421k,448k,456k,474k,487k,504k,520k,541k,570k,585k,571k,651k,755k
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5k,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123k,115k,112k,120k,137k,157k,170k,167k,168k,118k,125k,150k,163k,168k,172k,153k,152k,159k,172k,167k,137k,162k,196k
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10µ,30µ,70µ,0.00014,0.00026,0.00071,0.00352,0.0251,0.166,0.31,0.713,3.35,92.4,2020,5300,6630,6860,7360,7250,7530,8000,8050,7530,7460,6960,7830,9430,11.2k,13.2k,17.5k,21.9k,27.8k,29.7k,39.4k,51.3k,61.7k,77.6k,105k,135k,185k,236k,320k,461k,584k,990k,1.76M
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,22,72.5,1220,55.3k,161k,206k,260k,304k,317k,336k,387k,454k,544k,648k,767k,919k,1.1M,1.27M,1.1M,1.23M,1.34M,1.52M,1.67M,1.75M,1.82M,1.81M,2.02M,2.16M,2.35M,2.17M,2.43M,2.92M
American Samoa,,,,,,,,,,,,,,2650,2650,2290,2270,2570,2700,3300,3870,4090,4270,4520,4670,4780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,3260,3670,4480,5420,6050,6650,7480,8590,9890,10.6k,12.5k,15.5k,16.7k,17.7k,19.1k,19.6k,21k,22.7k,21.7k,23.5k,25k,26.3k,27.2k,28.1k,27.5k,27k,28.3k,29.9k,33.2k,37.1k,41.5k,42.5k,37.6k,35.3k,34.3k,35.7k,34.9k,36k,37.6k,39.9k,41.2k,44.9k,46.8k,40.7k,43.4k,48.9k
